pass,coremark_score,coremark_per_mhz,iterations,time_secs,status
canon-freeze,6287.870127,0,110000,17494,ok
guard-widening,6352.139516,0,110000,17317,ok
extra-simple-loop-unswitch-passes,6308.062851,0,110000,17438,ok
indvars,6389.405204,0,110000,17216,ok
loop-bound-split,6387.921022,0,110000,17220,ok
loop-deletion,6344.079820,0,110000,17339,ok
loop-idiom,6255.686988,0,110000,17584,ok
loop-idiom-vectorize,6397.580551,0,110000,17194,ok
loop-instsimplify,6342.982355,0,110000,17342,ok
loop-predication,6294.346532,0,110000,17476,ok
loop-reduce,6410.629990,0,110000,17159,ok
loop-term-fold,6367.214633,0,110000,17276,ok
loop-simplifycfg,6318.207926,0,110000,17410,ok
loop-unroll-full,6370.164466,0,110000,17268,ok
loop-versioning-licm,6362.795002,0,110000,17288,ok
